cap-texture,spore-pattern,stem-flexibility,ring-thickness,cap-shape,cap-surface:%3F,cap-color,gill-attachment,stalk-shape,veil-type,veil-color,ring-number,population,habitat,class
b'b',b'l',b'f',b'c',b'x',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'e'
b'm',b'g',b'e',b'c',b'f',b'f',b'y',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'k',b'j',b'i',b'a',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'p',b'a',b'b',b'b',b'f',b'f',b'y',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'm',b'j',b'i',b'a',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'p',b'e'
b'a',b'i',b'i',b'c',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'm',b'j',b'j',b'a',b'f',b's',b'y',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'h',b'i',b'i',b'c',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b's',b'b',b'h',b'c',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'p',b'e'
b'g',b'i',b'j',b'c',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'f',b'h',b'd',b'b',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'g',b'e'
b'f',b'l',b'i',b'b',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'e',b'b',b'a',b'b',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'p'
b'm',b'a',b'b',b'b',b'f',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'r',b'c',b'h',b'b',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'i',b'j',b'e',b'a',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'g',b'k',b'j',b'b',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'f',b'd',b'b',b'a',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b's',b'o',b'g',b'b',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'i',b'm',b'i',b'a',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'g',b'e'
b'g',b'o',b'i',b'a',b's',b'f',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'e'
b'm',b'd',b'e',b'a',b'x',b'f',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'e',b'o',b'a',b'b',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'e',b'k',b'f',b'c',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'q',b'g',b'i',b'c',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'b',b'd',b'b',b'b',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'o',b'i',b'i',b'a',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'm',b'm',b'b',b'a',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'o',b'b',b'd',b'b',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'f',b'n',b'e',b'a',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'd',b'd',b'e',b'b',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'l',b'n',b'd',b'c',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'j',b'i',b'j',b'b',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'b',b'a',b'f',b'a',b'f',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'm',b'l',b'i',b'c',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'y',b'p',b'e'
b's',b'n',b'a',b'c',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'k',b'd',b'i',b'a',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'?',b'n',b'm',b'e'
b'f',b'k',b'g',b'a',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'y',b'g',b'e'
b'p',b'c',b'b',b'b',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'o',b'l',b'f',b'b',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'j',b'e',b'b',b'b',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'j',b'o',b'c',b'a',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'd',b'c',b'd',b'c',b's',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'k',b'j',b'e',b'a',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'h',b'g',b'b',b'b',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'b',b'c',b'j',b'b',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'l',b'n',b'b',b'a',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'l',b'd',b'f',b'a',b's',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'h',b'h',b'h',b'a',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'y',b'g',b'e'
b'b',b'c',b'c',b'a',b'x',b's',b'y',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'i',b'd',b'e',b'b',b's',b'f',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'd',b'o',b'a',b'c',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'l',b'm',b'j',b'c',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'm',b'f',b'c',b'a',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'k',b'l',b'a',b'b',b'f',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'n',b'e',b'b',b'b',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'i',b'j',b'f',b'b',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'g',b'b',b'e',b'c',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b's',b'h',b'c',b'b',b'f',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'i',b'f',b'j',b'c',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'r',b'm',b'g',b'b',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'h',b'd',b'a',b'c',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'm',b'f',b'c',b'b',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'q',b'j',b'j',b'c',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b's',b'l',b'a',b'a',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'l',b'o',b'd',b'b',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'p',b'a',b'c',b'b',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'b',b'i',b'g',b'b',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'm',b'g',b'f',b'b',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'i',b'b',b'b',b'a',b'x',b's',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'r',b'f',b'j',b'b',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'm',b'l',b'j',b'c',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'p',b'e'
b'n',b'g',b'd',b'c',b'b',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'l',b'e',b'f',b'b',b's',b'f',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'e'
b'm',b'k',b'e',b'a',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'p',b'e'
b'h',b'd',b'b',b'c',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'r',b'j',b'd',b'a',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'c',b'b',b'i',b'b',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'g',b'b',b'j',b'c',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'g',b'i',b'f',b'b',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'j',b'j',b'b',b'a',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'f',b'c',b'a',b'b',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'o',b'n',b'h',b'c',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'r',b'h',b'i',b'b',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'e',b'c',b'e',b'a',b's',b'f',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'e'
b'l',b'n',b'j',b'c',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'i',b'i',b'b',b'c',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'i',b'g',b'j',b'b',b'b',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'r',b'a',b'f',b'b',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'q',b'n',b'h',b'b',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'b',b'e',b'h',b'c',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'l',b'n',b'd',b'a',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'o',b'i',b'd',b'c',b'b',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'o',b'h',b'e',b'a',b'x',b'f',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'j',b'l',b'j',b'a',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'g',b'e'
b'p',b'h',b'g',b'c',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'i',b'm',b'e',b'b',b'f',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'y',b'p',b'e'
b'd',b'k',b'd',b'a',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'f',b'b',b'g',b'c',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'a',b'd',b'h',b'c',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'g',b'e'
b'b',b'h',b'i',b'a',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'c',b'g',b'c',b'a',b'x',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'r',b'b',b'i',b'c',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'c',b'l',b'c',b'b',b'x',b'f',b'y',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'e',b'e',b'f',b'b',b'b',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'f',b'f',b'a',b'a',b'f',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'n',b'o',b'f',b'b',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'p',b'o',b'e',b'b',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'd',b'd',b'j',b'c',b'b',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'r',b'o',b'g',b'b',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'b',b'o',b'd',b'a',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'h',b'd',b'f',b'a',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'f',b'm',b'g',b'a',b's',b'f',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'n',b'o',b'f',b'c',b'f',b'f',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'e'
b'm',b'o',b'i',b'b',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'b',b'b',b'j',b'a',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'p',b'e'
b'p',b'h',b'i',b'a',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'p'
b'm',b'm',b'a',b'a',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'm',b'j',b'h',b'b',b'f',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'e'
b'l',b'b',b'j',b'a',b'b',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'n',b'g',b'f',b'b',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'p',b'e'
b'o',b'h',b'c',b'a',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'p',b'd',b'a',b'a',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'a',b'f',b'f',b'a',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'q',b'f',b'h',b'a',b'f',b's',b'y',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'm',b'g',b'e',b'a',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'm',b'n',b'i',b'b',b'f',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'm',b'a',b'i',b'c',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'q',b'j',b'g',b'c',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'f',b'n',b'f',b'c',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b's',b'd',b'h',b'a',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'n',b'c',b'h',b'a',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'p',b'j',b'f',b'a',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'o',b'a',b'i',b'b',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'g',b'j',b'i',b'a',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'l',b'i',b'b',b'b',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'p',b'e'
b'c',b'k',b'e',b'c',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'i',b'o',b'a',b'b',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'a',b'j',b'h',b'c',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'q',b'c',b'j',b'c',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b's',b'i',b'f',b'a',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'd',b'm',b'g',b'a',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'k',b'o',b'i',b'a',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'r',b'k',b'i',b'c',b'x',b'f',b'y',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'd',b'a',b'f',b'b',b'x',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'b',b'e',b'g',b'c',b'f',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b's',b'e',b'd',b'b',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'g',b'o',b'd',b'a',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'f',b'h',b'c',b'a',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'a',b'b',b'c',b'c',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'i',b'f',b'e',b'a',b's',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'e'
b'r',b'e',b'j',b'b',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'e',b'l',b'f',b'a',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'p'
b'n',b'k',b'h',b'b',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'p',b'b',b'b',b'a',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b's',b'a',b'g',b'a',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'e',b'j',b'h',b'c',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'g',b'n',b'b',b'b',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'l',b'f',b'c',b'a',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'p',b'a',b'g',b'a',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'o',b'i',b'b',b'b',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
